frame,north,south,east,west,phase,time
0,3,0,6,1,NS,31
1,3,0,9,1,NS,28
2,3,0,12,2,NS,26
3,3,0,15,2,NS,23
4,6,0,18,1,NS,27
5,3,0,0,0,NS,56
6,3,0,0,0,NS,56
7,3,0,3,0,NS,35
8,3,0,7,1,NS,26
9,0,0,11,2,NS,15
10,0,0,15,2,NS,15
11,0,0,19,3,NS,14
12,0,0,20,2,NS,14
13,0,0,20,0,NS,13
14,0,0,20,0,NS,13
15,0,3,5,0,NS,26
16,0,6,5,0,NS,33
17,0,9,5,0,NS,36
18,0,12,5,0,NS,39
19,0,3,5,0,NS,24
20,0,0,5,0,NS,10
21,0,0,0,0,NS,9
22,0,3,0,0,NS,48
23,0,3,3,0,NS,27
24,0,3,6,0,NS,21
25,0,3,24,0,NS,11
26,0,3,28,0,NS,10
27,0,0,35,0,NS,6
28,0,0,36,0,NS,6
29,0,0,40,0,NS,5
30,0,0,48,0,NS,5
31,0,0,48,0,NS,4
32,0,0,51,0,NS,4
33,0,0,54,0,NS,3
34,0,0,55,0,NS,3
35,0,0,55,0,NS,2
36,0,0,50,0,NS,2
37,0,0,50,0,NS,1
38,0,0,50,0,NS,1
39,0,0,35,0,NS,0
40,0,0,38,0,EW,59
41,0,0,32,0,EW,58
42,0,0,34,0,EW,58
43,0,0,41,0,EW,57
44,0,0,39,0,EW,57
45,0,1,48,0,EW,56
46,0,2,47,0,EW,56
47,0,3,50,0,EW,55
48,0,2,35,0,EW,55
49,0,0,39,0,EW,54
50,0,0,40,0,EW,54
51,0,0,33,0,EW,53
52,0,0,37,0,EW,53
53,0,0,39,0,EW,52
54,0,0,36,0,EW,52
55,0,0,39,0,EW,51
56,0,0,42,0,EW,51
57,0,0,44,0,EW,50
58,0,0,42,0,EW,50
59,0,1,51,0,EW,49
60,0,2,37,0,EW,49
61,3,3,30,0,EW,48
62,3,4,37,0,EW,48
63,0,5,37,0,EW,47
64,0,6,34,0,EW,46
65,0,5,37,0,EW,46
66,0,5,37,0,EW,46
67,0,0,37,0,EW,45
68,0,0,37,0,EW,45
69,0,0,37,0,EW,44
70,0,0,37,0,EW,44
71,0,1,37,0,EW,43
72,0,2,41,0,EW,43
73,0,3,40,0,EW,42
74,0,4,35,0,EW,42
75,0,1,35,0,EW,41
76,0,0,36,0,EW,41
77,0,0,36,0,EW,40
78,0,0,36,0,EW,40
79,0,0,51,0,EW,39
80,0,0,52,0,EW,39
81,0,0,54,0,EW,38
82,0,1,53,0,EW,38
83,0,2,51,0,EW,37
84,0,3,51,0,EW,37
85,0,4,52,0,EW,36
86,0,5,46,0,EW,36
87,0,6,48,0,EW,35
88,0,5,48,0,EW,35
89,0,7,56,0,EW,34
90,0,7,56,0,EW,34
91,0,7,57,0,EW,33
92,0,7,57,0,EW,33
93,0,7,57,0,EW,32
94,0,6,50,0,EW,32
95,0,5,50,0,EW,31
96,0,0,50,0,EW,31
97,0,1,50,0,EW,30
98,0,2,50,0,EW,30
99,0,3,55,0,EW,29
100,0,5,55,0,EW,29
101,0,18,58,0,EW,28
102,0,5,58,0,EW,28
103,0,15,58,0,EW,27
104,0,15,56,0,EW,27
105,0,0,56,0,EW,26
106,0,3,56,0,EW,26
107,0,6,55,0,EW,25
108,0,4,55,0,EW,25
109,0,15,55,0,EW,24
110,0,15,55,0,EW,24
111,0,15,55,0,EW,23
112,0,15,56,0,EW,23
113,0,15,55,0,EW,22
114,0,15,55,0,EW,22
115,0,15,55,0,EW,21
116,0,15,58,0,EW,21
117,0,15,55,0,EW,20
118,0,15,55,0,EW,20
119,0,15,58,0,EW,19
120,0,15,58,0,EW,19
121,0,15,58,3,EW,18
122,0,15,58,6,EW,18
123,0,15,56,6,EW,17
124,0,15,57,3,EW,16
125,0,18,58,6,EW,16
126,0,18,59,9,EW,16
127,0,18,57,6,EW,15
128,0,18,56,0,EW,15
129,0,15,57,3,EW,13
130,0,15,58,6,EW,14
131,0,15,58,6,EW,13
132,0,15,55,3,EW,13
133,0,15,55,6,EW,12
134,0,15,55,9,EW,12
135,0,0,55,12,EW,11
136,0,0,55,3,EW,11
137,0,0,55,6,EW,10
138,0,0,56,9,EW,10
139,0,0,57,12,EW,9
140,0,0,42,3,EW,9
141,0,0,41,0,EW,8
142,0,0,40,0,EW,8
143,0,0,40,0,EW,7
144,0,3,40,0,EW,7
145,0,6,40,0,EW,6
146,0,9,43,0,EW,6
147,0,6,46,0,EW,5
148,0,9,49,0,EW,5
149,0,6,40,0,EW,4
150,0,0,40,0,EW,4
151,0,0,46,0,EW,3
152,0,0,46,0,EW,3
153,0,0,46,0,EW,2
154,0,0,43,0,EW,2
155,0,0,35,0,EW,1
156,0,0,35,0,EW,1
157,0,0,36,0,EW,0
158,0,3,37,0,NS,21
159,0,3,38,0,NS,21
160,0,3,39,3,NS,21
161,0,3,40,3,NS,20
162,0,3,41,3,NS,20
163,0,0,42,3,NS,17
164,0,0,42,3,NS,17
165,0,0,41,0,NS,16
166,0,3,40,0,NS,18
167,0,6,40,0,NS,20
168,0,9,55,0,NS,20
169,0,6,41,0,NS,19
170,0,9,41,0,NS,21
171,0,12,41,0,NS,22
172,0,15,41,0,NS,23
173,0,15,45,0,NS,20
174,0,15,49,0,NS,21
175,0,15,68,0,NS,18
176,0,15,66,0,NS,18
177,0,15,63,0,NS,17
178,0,18,63,0,NS,18
179,0,18,63,0,NS,17
180,0,6,60,0,NS,12
181,0,9,54,0,NS,13
182,0,12,52,0,NS,15
183,0,15,43,0,NS,17
184,0,0,40,0,NS,7
185,0,0,40,0,NS,6
186,0,0,40,0,NS,6
187,0,0,40,0,NS,5
188,0,3,40,0,NS,7
189,0,6,35,0,NS,9
190,0,6,35,0,NS,9
191,0,3,35,0,NS,6
192,0,0,35,0,NS,3
193,0,0,35,0,NS,2
194,0,0,38,0,NS,2
195,0,0,35,0,NS,1
196,0,0,35,0,NS,1
197,0,0,38,0,NS,0
198,0,3,38,0,NS,2
199,0,6,53,0,NS,3
200,0,6,41,0,NS,4
201,0,3,44,0,NS,0
202,0,0,47,0,EW,57
203,0,0,38,0,EW,56
204,0,0,38,0,EW,56
205,0,0,38,0,EW,55
206,0,0,33,0,EW,55
207,0,0,33,0,EW,54
208,0,1,34,2,EW,54
209,0,1,37,3,EW,53
210,0,1,40,3,EW,53
211,0,1,38,2,EW,52
212,0,1,44,1,EW,52
213,0,0,50,0,EW,51
214,0,0,54,0,EW,51
215,3,0,39,0,EW,50
216,3,3,40,0,EW,50
217,4,6,35,0,EW,49
218,4,6,36,0,EW,49
219,5,3,37,0,EW,48
220,3,0,38,0,EW,48
221,4,0,34,0,EW,47
222,1,0,31,0,EW,47
223,0,0,32,0,EW,46
224,0,0,33,0,EW,46
225,3,0,35,0,EW,45
226,3,0,37,0,EW,43
227,6,0,33,0,EW,44
228,9,0,33,0,EW,44
229,0,0,33,3,EW,43
230,0,0,32,3,EW,43
231,0,0,31,3,EW,42
232,0,0,33,0,EW,42
233,0,1,29,0,EW,41
234,0,2,32,0,EW,41
235,0,3,14,0,EW,40
236,0,4,8,0,EW,40
237,0,5,11,0,EW,39
238,0,5,9,0,EW,39
239,0,5,13,0,EW,38
240,0,5,17,0,EW,38
